"My Wishlist", "Wishlist"
"My Wishlist (%d item)","Wishlist (%d item)"
"My Wishlist (%d items)","Wishlist (%d items)"
"Add to Wishlist", "Add to Wishlist"
"My Account","My Account"
"Proceed to Checkout","Secure Checkout"
"Your Checkout Progress","Checkout Progress"
"Recently Viewed Products","Recently Products"
"Regular Price:", "Regular Price:"
"Update Shopping Cart", "Update Cart"
"Clear Shopping Cart", "Clear Cart"
"Grand Total", "Order Total"
"Estimate Shipping and Tax", "Estimate Shipping"
"Checkout Progress", "Your Checkout Progress"